fips,start,end,aet,cwd
35061,2007,2011,195.8770437,1383.071643
35061,2012,2016,207.6652516,1373.292579
26153,1950,1980,446.3314664,360.7834365
26153,1982,2011,435.1623199,361.5232184
26153,2007,2011,405.999134,381.4119901
26153,2012,2016,441.6145092,336.4111042
36055,1950,1980,460.5953025,464.8866069
36055,1982,2011,497.4605696,413.3341422
36055,2007,2011,501.0079427,412.3111544
36055,2012,2016,512.2292414,416.4522068
48359,1950,1980,361.3019223,1016.426832
48359,1982,2011,384.993617,991.212537
48359,2007,2011,369.28746,1034.339095
48359,2012,2016,390.6556162,1028.137487
1125,1950,1980,701.2447064,708.2215638
1125,1982,2011,712.5150691,687.1109202
1125,2007,2011,709.0006103,713.7658192
1125,2012,2016,689.4941213,705.6445605
5025,1950,1980,660.2847771,723.6861092
5025,1982,2011,660.8793045,681.3342425
5025,2007,2011,665.0259026,667.7304946
5025,2012,2016,642.1270809,680.4519819
8051,1950,1980,264.0000229,767.5178387
8051,1982,2011,297.8852893,730.7342137
8051,2007,2011,265.133204,757.5767664
8051,2012,2016,284.5718716,759.6210057
51051,1950,1980,617.4234684,518.7115
51051,1982,2011,647.7987673,462.0882944
51051,2007,2011,631.0809565,466.519933
51051,2012,2016,653.7004097,429.1924038
20147,1950,1980,413.4309568,843.9761796
20147,1982,2011,430.0927574,824.990909
20147,2007,2011,487.8009831,752.9706914
20147,2012,2016,391.1842571,917.335246
54017,1950,1980,674.3442546,492.1302379
54017,1982,2011,675.3127368,486.2628955
54017,2007,2011,682.1988396,474.1764618
54017,2012,2016,679.6530981,480.1130921
56035,1950,1980,211.872328,716.8751148
56035,1982,2011,228.5966951,697.5258765
56035,2007,2011,222.6017704,698.7787591
56035,2012,2016,247.6956692,721.3660691
51061,1950,1980,581.310043,586.4860066
51061,1982,2011,596.0124905,568.6457055
51061,2007,2011,571.0659151,599.7214256
51061,2012,2016,588.7710616,557.5573304
51550,1950,1980,681.7198858,511.8142114
51550,1982,2011,696.2861453,516.4003161
51550,2007,2011,676.9131213,565.9948391
51550,2012,2016,762.5043491,435.4446067
53025,1950,1980,142.9468724,921.8150809
53025,1982,2011,145.3175743,907.9009012
53025,2007,2011,131.5721801,900.6064963
53025,2012,2016,154.0700064,922.1840485
37177,1950,1980,707.0679368,554.9272195
37177,1982,2011,688.7066774,559.308521
37177,2007,2011,657.8127736,603.4928324
37177,2012,2016,742.8386586,467.3461193
21199,1950,1980,660.1740367,535.3747218
21199,1982,2011,648.4718258,524.5070112
21199,2007,2011,601.7223004,570.992016
21199,2012,2016,647.8448747,510.8252166
28135,1950,1980,667.6321642,701.3403073
28135,1982,2011,655.2838125,686.2534269
28135,2007,2011,682.3911948,680.7031362
28135,2012,2016,650.438489,696.4301199
17139,1950,1980,552.550792,557.361497
17139,1982,2011,553.8983152,546.0028703
17139,2007,2011,583.5835632,499.2363036
17139,2012,2016,577.6839819,507.3071402
17099,1950,1980,497.8167185,548.9649629
17099,1982,2011,510.9148623,514.7784702
17099,2007,2011,553.9973436,461.9006109
17099,2012,2016,536.7560923,490.1553182
1009,1950,1980,711.4607494,617.6177998
1009,1982,2011,698.2214357,607.4607681
1009,2007,2011,683.1215741,639.7355589
1009,2012,2016,681.1354096,588.9218883
26143,1950,1980,464.2573395,463.6721953
26143,1982,2011,489.0645459,447.3834166
26143,2007,2011,491.0614155,449.31188
26143,2012,2016,506.416828,436.083645
36071,1950,1980,554.3985235,475.0473081
36071,1982,2011,572.0784645,460.0837823
36071,2007,2011,596.1568999,428.3090057
36071,2012,2016,531.3997166,510.5606949
51105,1950,1980,712.8632386,510.8097729
51105,1982,2011,735.7562217,469.7432036
51105,2007,2011,717.3360561,493.8884795
51105,2012,2016,739.0858178,454.9913532
40015,1950,1980,466.5389802,924.2935627
40015,1982,2011,479.8956645,879.0696664
40015,2007,2011,449.9080465,917.4453435
40015,2012,2016,478.6626993,907.494744
47139,1950,1980,760.1345753,542.4447368
47139,1982,2011,794.1140711,486.7581283
47139,2007,2011,758.1213507,550.0771783
47139,2012,2016,777.1645775,521.5657839
5113,1950,1980,627.274297,696.0874689
5113,1982,2011,645.5362635,647.2608582
5113,2007,2011,642.4575925,637.5966945
5113,2012,2016,651.5568321,636.1268797
29017,1950,1980,594.8277253,665.584973
29017,1982,2011,603.4924951,621.8725711
29017,2007,2011,614.3322112,613.886255
29017,2012,2016,594.6509727,627.4029224
20043,1950,1980,527.1564747,612.6518361
20043,1982,2011,529.2621566,585.6095425
20043,2007,2011,572.1379152,510.0439394
20043,2012,2016,532.5624773,595.3646495
12005,1950,1980,838.822042,672.7711123
12005,1982,2011,832.1883115,675.1809812
12005,2007,2011,768.698338,750.2818821
12005,2012,2016,821.8422686,671.9264166
28113,1950,1980,798.7433461,661.1617639
28113,1982,2011,791.8515236,653.2397016
28113,2007,2011,735.1585559,721.1855816
28113,2012,2016,762.2400523,671.9507435
48507,1950,1980,404.5254443,1249.176601
48507,1982,2011,411.6390669,1231.768642
48507,2007,2011,381.531502,1292.123809
48507,2012,2016,396.556724,1247.95392
1027,1950,1980,712.0355364,648.6245141
1027,1982,2011,709.4626641,635.0393565
1027,2007,2011,676.4392144,707.1564425
1027,2012,2016,713.0979438,630.8470201
48357,1950,1980,394.0098908,1003.526925
48357,1982,2011,404.8593914,950.2002392
48357,2007,2011,369.4024489,1019.70744
48357,2012,2016,405.3839467,995.3301895
48175,1950,1980,552.7741592,1001.181041
48175,1982,2011,556.7044289,1000.800758
48175,2007,2011,511.8498241,1047.626711
48175,2012,2016,517.0776372,1049.274064
47187,1950,1980,658.5046505,611.9708233
47187,1982,2011,664.263701,588.9343487
47187,2007,2011,642.0719523,639.5389746
47187,2012,2016,674.2330235,580.3970057
31027,1950,1980,427.8313315,645.7014109
31027,1982,2011,439.7168643,606.840876
31027,2007,2011,464.9532098,555.3477971
31027,2012,2016,450.1807964,609.8309886
23003,1950,1980,461.0062395,316.2951406
23003,1982,2011,481.5302333,305.6363382
23003,2007,2011,513.7410358,270.4310714
23003,2012,2016,491.9849086,305.0766403
27051,1950,1980,380.7811092,532.2026923
27051,1982,2011,403.5424541,489.5083754
27051,2007,2011,381.9136825,481.8988858
27051,2012,2016,388.2072726,496.1187862
48193,1950,1980,505.7391534,978.2202837
48193,1982,2011,552.4030047,915.9138606
48193,2007,2011,503.6866354,991.3730234
48193,2012,2016,488.3776288,1002.822648
19095,1950,1980,515.374152,513.3436762
19095,1982,2011,529.4192175,480.3239312
19095,2007,2011,575.9896385,417.4001253
19095,2012,2016,523.3417974,505.974699
19021,1950,1980,463.3278667,537.0078017
19021,1982,2011,480.8517072,494.0155395
19021,2007,2011,482.7560525,481.2286012
19021,2012,2016,481.1464639,493.1352087
17169,1950,1980,535.8205872,579.4841431
17169,1982,2011,539.7365154,546.3737412
17169,2007,2011,586.4703828,488.427001
17169,2012,2016,535.2717827,541.8711447
8017,1950,1980,320.2634177,978.6444477
8017,1982,2011,356.0268982,919.3840605
8017,2007,2011,370.0309626,908.3759418
8017,2012,2016,328.6106031,994.1696829
28079,1950,1980,712.6031278,727.0576706
28079,1982,2011,719.7286885,704.4296581
28079,2007,2011,728.3336904,712.7254269
28079,2012,2016,691.7192284,730.0830701
55078,1950,1980,485.9429565,471.767061
55078,1982,2011,478.5367669,443.370551
55078,2007,2011,471.647099,453.0033431
55078,2012,2016,514.9117045,415.5053822
30053,1950,1980,296.6403696,665.9208134
30053,1982,2011,317.8737791,651.8563847
30053,2007,2011,304.1089674,667.706684
30053,2012,2016,289.5583362,707.8172341
20189,1950,1980,364.2278321,1013.567561
20189,1982,2011,373.6633994,979.0609764
20189,2007,2011,322.1445751,1053.66796
20189,2012,2016,372.7029622,1015.806323
48187,1950,1980,526.1097245,999.6488929
48187,1982,2011,531.5410021,983.6032561
48187,2007,2011,479.132883,1055.933192
48187,2012,2016,509.1192992,1013.639755
1049,1950,1980,667.7068134,595.4170906
1049,1982,2011,651.8522404,578.2895105
1049,2007,2011,637.1245558,604.8491259
